NO,NAMA PENGINAPAN,BINTANG/NON BINTANG,GOLONGAN,JUMLAH KAMAR,ALAMAT,Latitude,Longitude,X,Y,,,,,,,,,,,,,,,,
38,Arizon Hotel,Non Bintang,Melati,22,Jl. Jlagran No.6,-7.790767,110.36044,429484.1205,9138779.717,,,,,,,,,,,,,,,,
39,Arjuna 31 Homestay,Non Bintang,Akomodasi Lain,19,Arjuna No. 31,-7.80423,110.34794,428108.1508,9137289.177,,,,,,,,,,,,,,,,
40,Arjuna Hotel,Bintang,Bintang Tiga,72,Jl. P. Mangkubumi/Jl. Margo Utomo No. 44,-7.784965,110.36714,430221.9106,9139422.281,,,,,,,,,,,,,,,,
41,Arjuna Wisma,Non Bintang,Melati,10,Jl. Tirtodipuran No. 15,-7.814581,110.36363,429839.824,9136147.441,,,,,,,,,,,,,,,,
42,Arkananta Villa ,Non Bintang,Akomodasi Lain,7,Tirtodipuran No. 49,-7.818305,110.36596,430097.3378,9135736.114,,,,,,,,,,,,,,,,
43,Armany Homestay,Non Bintang,Akomodasi Lain,4,Bugisan No. 36,-7.793753,110.35243,428601.4326,9138448.249,,,,,,,,,,,,,,,,
44,Armira Homestay,Non Bintang,Akomodasi Lain,2,Pakuncen No. 21,-7.780645,110.34706,428007.0947,9139896.523,,,,,,,,,,,,,,,,
45,Arrayan Residence Syariah,Bintang,Bintang Dua,34,Bhayangkara No. 13,-7.800071,110.3618,429635.6299,9137751.321,,,,,,,,,,,,,,,,
46,Arte Hotel,Bintang,Bintang Tiga,74,Pasar Kembang No. 53,-7.789757,110.36223,429681.3197,9138891.678,,,,,,,,,,,,,,,,
47,Arys Wisma,Non Bintang,Melati,25,Jl. Suryodiningratan No. 29,-7.817842,110.36037,429480.94,9135786.37,,,,,,,,,,,,,,,,
48,Asana Grove Hotel,Bintang,Bintang Dua,36,Jl. Ganesha II No. 53,-7.792604,110.39456,433246.5152,9138582.166,,,,,,,,,,,,,,,,
49,Ashtary Hotel,Non Bintang,Melati,15,Jl. MT Haryono No. 29,-7.813598,110.35975,429411.8693,9136255.471,,,,,,,,,,,,,,,,
50,Asri Graha Hotel,Non Bintang,Melati,17,Jl. Veteran 184 A,-7.814897,110.3882,432548.8339,9136116.517,,,,,,,,,,,,,,,,
51,Astana Ibu ,Non Bintang,Akomodasi Lain,5,Ngadisuryan No. 3,-7.811336,110.36222,429683.8216,9136505.964,,,,,,,,,,,,,,,,
52,Atalie Hotel,Non Bintang,Melati,11,Jl. Sosrokusuman DN I/118,-7.793405,110.36683,430189.1268,9138489.129,,,,,,,,,,,,,,,,
53,Athaya Homestay,Non Bintang,Pondok Wisata,5,Tegalmulyo WB I/129B,-7.793155,110.35263,428623.3835,9138514.396,,,,,,,,,,,,,,,,
